PC1	PC2	country	cluster	cluster_name
-4.158574891	0.665141375	Afghanistan	1	Low stability and weak governance
-4.222071312	0.738835836	Afghanistan	1	Low stability and weak governance
-4.427431117	0.556199948	Afghanistan	1	Low stability and weak governance
-4.587466155	0.246402218	Afghanistan	1	Low stability and weak governance
-4.579396739	0.235414698	Afghanistan	1	Low stability and weak governance
-4.537611516	0.263018601	Afghanistan	1	Low stability and weak governance
-4.162029962	0.137985066	Afghanistan	1	Low stability and weak governance
-4.162237758	0.160550745	Afghanistan	1	Low stability and weak governance
-3.986974567	0.148152965	Afghanistan	1	Low stability and weak governance
-4.001714995	0.179164074	Afghanistan	1	Low stability and weak governance
-4.12265413	0.273734038	Afghanistan	1	Low stability and weak governance
-4.075499895	0.510213229	Afghanistan	1	Low stability and weak governance
-4.061591676	0.519366336	Afghanistan	1	Low stability and weak governance
-4.024367618	0.502021544	Afghanistan	1	Low stability and weak governance
-4.216048645	0.535565634	Afghanistan	1	Low stability and weak governance
-4.434597669	-0.166048405	Afghanistan	1	Low stability and weak governance
-4.633445418	-0.405784549	Afghanistan	1	Low stability and weak governance
-4.702886217	-0.438278817	Afghanistan	1	Low stability and weak governance
-0.813435821	0.756979268	Albania	0	Medium stability and governance
-0.54451627	0.63682981	Albania	0	Medium stability and governance
-0.325115121	0.566429562	Albania	0	Medium stability and governance
-0.205214368	0.47725926	Albania	0	Medium stability and governance
-0.188125574	0.463035099	Albania	0	Medium stability and governance
-0.264209417	0.467358948	Albania	0	Medium stability and governance
-0.325000691	0.47032579	Albania	0	Medium stability and governance
-0.219881495	0.435820005	Albania	0	Medium stability and governance
0.233806669	0.238000373	Albania	0	Medium stability and governance
0.211877155	0.24722219	Albania	0	Medium stability and governance
0.256033678	0.233039622	Albania	0	Medium stability and governance
0.292187926	0.237148151	Albania	0	Medium stability and governance
0.273501835	0.244322334	Albania	0	Medium stability and governance
0.120989966	0.309091029	Albania	0	Medium stability and governance
0.057154963	0.304094862	Albania	0	Medium stability and governance
0.156005009	0.236478878	Albania	0	Medium stability and governance
0.312798264	0.184702871	Albania	0	Medium stability and governance
0.451613168	0.114177446	Albania	0	Medium stability and governance
-1.979000869	-0.541547301	Algeria	1	Low stability and weak governance
-2.044841781	-0.547921812	Algeria	1	Low stability and weak governance
-2.119609248	-0.511888115	Algeria	1	Low stability and weak governance
-2.336090503	-0.483244121	Algeria	1	Low stability and weak governance
-2.33881339	-0.496250421	Algeria	1	Low stability and weak governance
-2.425280991	-0.430358091	Algeria	1	Low stability and weak governance
-2.360788135	-0.409260317	Algeria	1	Low stability and weak governance
-2.183299927	-0.482011834	Algeria	1	Low stability and weak governance
-2.271408906	-0.391670101	Algeria	1	Low stability and weak governance
-2.329774531	-0.37983224	Algeria	1	Low stability and weak governance
-2.335661664	-0.377870538	Algeria	1	Low stability and weak governance
-2.27846332	-0.442896417	Algeria	1	Low stability and weak governance
-2.251230333	-0.533261497	Algeria	1	Low stability and weak governance
-2.410062782	-0.487268834	Algeria	1	Low stability and weak governance
-2.302743556	-0.568743985	Algeria	1	Low stability and weak governance
-2.282270536	-0.498004716	Algeria	1	Low stability and weak governance
-2.038693205	-0.628465342	Algeria	1	Low stability and weak governance
-1.906306295	-0.651156776	Algeria	1	Low stability and weak governance
-3.079778158	-0.205029733	Angola	1	Low stability and weak governance
-3.004916084	-0.188668215	Angola	1	Low stability and weak governance
-2.809848345	-0.259147911	Angola	1	Low stability and weak governance
-2.744083023	-0.300222066	Angola	1	Low stability and weak governance
-2.740128001	-0.287926915	Angola	1	Low stability and weak governance
-2.860706025	-0.225381894	Angola	1	Low stability and weak governance
-2.725519626	-0.266930579	Angola	1	Low stability and weak governance
-2.890357361	-0.195899581	Angola	1	Low stability and weak governance
-2.709449419	-0.305511417	Angola	1	Low stability and weak governance
-2.802213805	-0.51002663	Angola	1	Low stability and weak governance
-2.824974021	-0.481811782	Angola	1	Low stability and weak governance
-2.863322162	-0.438031899	Angola	1	Low stability and weak governance
-2.496289725	-0.248520691	Angola	1	Low stability and weak governance
-2.454834346	-0.185586299	Angola	1	Low stability and weak governance
-2.527748228	-0.15740898	Angola	1	Low stability and weak governance
-2.400320215	-0.263445009	Angola	1	Low stability and weak governance
-2.27893391	-0.292190482	Angola	1	Low stability and weak governance
-2.208400522	-0.296965291	Angola	1	Low stability and weak governance
1.696916109	0.150752704	Antigua and Barbuda	0	Medium stability and governance
1.973455744	-0.032408323	Antigua and Barbuda	2	High stability and effective governance
2.154802606	-0.105685906	Antigua and Barbuda	2	High stability and effective governance
2.093090818	-0.279610595	Antigua and Barbuda	2	High stability and effective governance
2.135181795	-0.372896459	Antigua and Barbuda	2	High stability and effective governance
2.153771326	-0.369914507	Antigua and Barbuda	2	High stability and effective governance
2.290685171	-0.124947993	Antigua and Barbuda	2	High stability and effective governance
2.247464538	-0.116953839	Antigua and Barbuda	2	High stability and effective governance
1.380789263	0.351436254	Antigua and Barbuda	0	Medium stability and governance
1.722122623	0.169083621	Antigua and Barbuda	0	Medium stability and governance
1.685383896	0.216739833	Antigua and Barbuda	0	Medium stability and governance
1.335369838	0.418711881	Antigua and Barbuda	0	Medium stability and governance
1.403496348	0.372459252	Antigua and Barbuda	0	Medium stability and governance
1.540105269	0.421693566	Antigua and Barbuda	0	Medium stability and governance
1.546310192	0.443653795	Antigua and Barbuda	0	Medium stability and governance
1.423163035	0.482130162	Antigua and Barbuda	0	Medium stability and governance
1.46993783	0.440646204	Antigua and Barbuda	0	Medium stability and governance
1.774641647	0.27816792	Antigua and Barbuda	0	Medium stability and governance
0.319973757	0.772944629	Argentina	0	Medium stability and governance
0.338750252	0.792669701	Argentina	0	Medium stability and governance
0.11175438	0.852521751	Argentina	0	Medium stability and governance
-0.133310431	0.920962802	Argentina	0	Medium stability and governance
0.10468488	0.843641064	Argentina	0	Medium stability and governance
0.214302348	0.768575156	Argentina	0	Medium stability and governance
0.005068335	0.837636555	Argentina	0	Medium stability and governance
-0.046859653	0.852314091	Argentina	0	Medium stability and governance
-0.186181575	0.957742814	Argentina	0	Medium stability and governance
-0.042815424	0.945595914	Argentina	0	Medium stability and governance
0.613580647	0.677924488	Argentina	0	Medium stability and governance
0.6691957	0.698053196	Argentina	0	Medium stability and governance
0.689754886	0.698967614	Argentina	0	Medium stability and governance
0.430222456	0.847197403	Argentina	0	Medium stability and governance
0.334111256	0.915423277	Argentina	0	Medium stability and governance
0.120022019	1.050939246	Argentina	0	Medium stability and governance
0.097719839	1.006193352	Argentina	0	Medium stability and governance
0.208356756	0.965026536	Argentina	0	Medium stability and governance
-0.546711134	-0.623178023	Armenia	0	Medium stability and governance
-0.82148563	-0.524565076	Armenia	0	Medium stability and governance
-0.84366306	-0.817954129	Armenia	0	Medium stability and governance
-0.787978074	-0.890562626	Armenia	0	Medium stability and governance
-0.919437276	-0.782241811	Armenia	0	Medium stability and governance
-0.846701301	-0.704354724	Armenia	0	Medium stability and governance
-0.538750171	-0.560267203	Armenia	0	Medium stability and governance
-0.493682321	-0.615195064	Armenia	0	Medium stability and governance
-0.830954382	-0.391105829	Armenia	0	Medium stability and governance
-0.832119078	-0.359025905	Armenia	0	Medium stability and governance
-0.888953078	-0.348664108	Armenia	0	Medium stability and governance
-0.866659034	-0.353069613	Armenia	0	Medium stability and governance
-0.380330595	-0.070539646	Armenia	0	Medium stability and governance
-0.247771446	-0.011843577	Armenia	0	Medium stability and governance
-0.274080505	0.001648239	Armenia	0	Medium stability and governance
-0.377836427	0.039332298	Armenia	0	Medium stability and governance
-0.394290668	0.066811245	Armenia	0	Medium stability and governance
-0.336980794	0.022928224	Armenia	0	Medium stability and governance
4.654666656	-0.333462452	Australia	2	High stability and effective governance
4.706826049	-0.37779815	Australia	2	High stability and effective governance
4.728139233	-0.383315638	Australia	2	High stability and effective governance
4.660780188	-0.325766363	Australia	2	High stability and effective governance
4.645834893	-0.308570147	Australia	2	High stability and effective governance
4.690097133	-0.288815629	Australia	2	High stability and effective governance
4.645379635	-0.231998656	Australia	2	High stability and effective governance
4.635824081	-0.259638967	Australia	2	High stability and effective governance
4.691192054	-0.340611479	Australia	2	High stability and effective governance
4.553407939	-0.269421356	Australia	2	High stability and effective governance
4.626342337	-0.296101068	Australia	2	High stability and effective governance
4.547171915	-0.225776734	Australia	2	High stability and effective governance
4.63845307	-0.269416153	Australia	2	High stability and effective governance
4.587411181	-0.335803404	Australia	2	High stability and effective governance
4.484097885	-0.2588248	Australia	2	High stability and effective governance
4.468759842	-0.203028298	Australia	2	High stability and effective governance
4.514430966	-0.258880837	Australia	2	High stability and effective governance
4.617242724	-0.173428708	Australia	2	High stability and effective governance
4.792929833	-0.420428688	Austria	2	High stability and effective governance
4.849938004	-0.463734182	Austria	2	High stability and effective governance
4.707092275	-0.389313217	Austria	2	High stability and effective governance
4.495986215	-0.255698319	Austria	2	High stability and effective governance
4.538307647	-0.25469097	Austria	2	High stability and effective governance
4.381940307	-0.179221945	Austria	2	High stability and effective governance
4.438351184	-0.155134319	Austria	2	High stability and effective governance
4.472134435	-0.176017523	Austria	2	High stability and effective governance
4.432218112	-0.201123668	Austria	2	High stability and effective governance
4.337476895	-0.154447972	Austria	2	High stability and effective governance
4.219595132	-0.12431827	Austria	2	High stability and effective governance
4.298035634	-0.131719496	Austria	2	High stability and effective governance
4.347815647	-0.135714798	Austria	2	High stability and effective governance
4.316777384	-0.172582092	Austria	2	High stability and effective governance
